"durSweep","gain","mode","protocol","sampratein","samprateout","secondary_gain","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
5,5,IClamp,Sweep,50000,50000,5,0,1,3,NaN,Sweep_Raw_140218_F2_C2_1.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,2,3,NaN,Sweep_Raw_140218_F2_C2_2.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,3,3,NaN,Sweep_Raw_140218_F2_C2_3.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,4,3,NaN,Sweep_Raw_140218_F2_C2_4.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,5,3,NaN,Sweep_Raw_140218_F2_C2_5.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,6,4,NaN,Sweep_Raw_140218_F2_C2_6.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,7,4,NaN,Sweep_Raw_140218_F2_C2_7.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,8,4,NaN,Sweep_Raw_140218_F2_C2_8.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,9,4,NaN,Sweep_Raw_140218_F2_C2_9.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
5,5,IClamp,Sweep,50000,50000,5,0,10,4,NaN,Sweep_Raw_140218_F2_C2_10.mat,140218,140218_F2_C2,2,2,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140218/140218_F2_C2
