"displacement","displacementOffset","displacements","durSweep","freqEnd","freqStart","gain","mode","postDurInSec","preDurInSec","protocol","ramptime","sampratein","samprateout","secondary_gain","stimDurInSec","Vm_id","trial","trialBlock","tags","rawname","datestr","idstr","fly","cell","genotype","timestamp","path"
0.4,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,1,10,NaN,PiezoChirp_Raw_140219_F3_C4_1.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.8,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,2,10,NaN,PiezoChirp_Raw_140219_F3_C4_2.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
1.6,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,3,10,NaN,PiezoChirp_Raw_140219_F3_C4_3.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,4,10,NaN,PiezoChirp_Raw_140219_F3_C4_4.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.8,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,5,10,NaN,PiezoChirp_Raw_140219_F3_C4_5.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
1.6,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,6,10,NaN,PiezoChirp_Raw_140219_F3_C4_6.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.4,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,7,10,NaN,PiezoChirp_Raw_140219_F3_C4_7.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
0.8,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,8,10,NaN,PiezoChirp_Raw_140219_F3_C4_8.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
1.6,5,0.4/0.8/1.6,11,800,25,5,IClamp,0.5,0.5,PiezoChirp,0.04,50000,50000,5,10,0,9,10,NaN,PiezoChirp_Raw_140219_F3_C4_9.mat,140219,140219_F3_C4,3,4,GH86-Gal4/+;pJFRC7/+;VT34811/+,01-May-2014 21:03:19,/Users/tony/Code/ParametersDB/140219/140219_F3_C4
